URL, EN, FA
time.google.com, Google
time1.google.com, Google 1
time2.google.com, Google 2
time3.google.com, Google 3
time4.google.com, Google 4
time.android.com, Google Android
time.aws.com, Amazon Web Services
time.cloudflare.com, Cloudflare
time.facebook.com, Facebook
time1.facebook.com, Facebook 1
time2.facebook.com, Facebook 2
time3.facebook.com, Facebook 3
time4.facebook.com, Facebook 4
time5.facebook.com, Facebook 5
time.windows.com, Microsoft Windows
time.apple.com, Apple
time-macos.apple.com, Apple MacOS
time-ios.apple.com, Apple iOS
time1.apple.com, Apple 1
time2.apple.com, Apple 2
time3.apple.com, Apple 3
time4.apple.com, Apple 4
time5.apple.com, Apple 5
time6.apple.com, Apple 6
time7.apple.com, Apple 7
time.euro.apple.com, Apple Euro
clepsydra.dec.com, HP 1
clepsydra.labs.hp.com, HP 2
clepsydra.hpl.hp.com, HP 3
usno.labs.hp.com, HP 4
time-a-g.nist.gov, NIST 01
time-b-g.nist.gov, NIST 02
time-c-g.nist.gov, NIST 03
time-d-g.nist.gov, NIST 04
time-a-wwv.nist.gov, NIST 05
time-b-wwv.nist.gov, NIST 06
time-c-wwv.nist.gov, NIST 07
time-d-wwv.nist.gov, NIST 08
time-a-b.nist.gov, NIST 09
time-b-b.nist.gov, NIST 10
time-c-b.nist.gov, NIST 11
time-d-b.nist.gov, NIST 12
time.nist.gov, NIST 13
time-e-b.nist.gov, NIST 14
time-e-g.nist.gov, NIST 15
time-e-wwv.nist.gov, NIST 16
time-nw.nist.gov, NIST 17
time-a.nist.gov, NIST 18
time-b.nist.gov, NIST 19
utcnist.colorado.edu, NIST 20
utcnist2.colorado.edu, NIST 21
ntp1.vniiftri.ru, VNIIFTRI 01
ntp2.vniiftri.ru, VNIIFTRI 02
ntp3.vniiftri.ru, VNIIFTRI 03
ntp4.vniiftri.ru, VNIIFTRI 04
ntp.sstf.nsk.ru, VNIIFTRI 05
ntp1.niiftri.irkutsk.ru, VNIIFTRI 06
ntp2.niiftri.irkutsk.ru, VNIIFTRI 07
vniiftri.khv.ru, VNIIFTRI 08
vniiftri2.khv.ru, VNIIFTRI 09
ntp21.vniiftri.ru, VNIIFTRI 10
ntp.mobatime.ru, Mobatime
ntp0.ntp-servers.net, NTP SERVERS 0
ntp1.ntp-servers.net, NTP SERVERS 1
ntp2.ntp-servers.net, NTP SERVERS 2
ntp3.ntp-servers.net, NTP SERVERS 3
ntp4.ntp-servers.net, NTP SERVERS 4
ntp5.ntp-servers.net, NTP SERVERS 5
ntp6.ntp-servers.net, NTP SERVERS 6
ntp7.ntp-servers.net, NTP SERVERS 7
ntp1.stratum1.ru, Stratum 1-1
ntp2.stratum1.ru, Stratum 1-2
ntp3.stratum1.ru, Stratum 1-3
ntp4.stratum1.ru, Stratum 1-4
ntp5.stratum1.ru, Stratum 1-5
ntp1.stratum2.ru, Stratum 2-1
ntp2.stratum2.ru, Stratum 2-2
